"Index","Peak","Trough"
1,1857-06-01,1858-12-01
2,1860-10-01,1861-06-01
3,1865-04-01,1867-12-01
4,1869-06-01,1870-12-01
5,1873-10-01,1879-03-01
6,1882-03-01,1885-05-01
7,1887-03-01,1888-04-01
8,1890-07-01,1891-05-01
9,1893-01-01,1894-06-01
10,1895-12-01,1897-06-01
11,1899-06-01,1900-12-01
12,1902-09-01,1904-08-01
13,1907-05-01,1908-06-01
14,1910-01-01,1912-01-01
15,1913-01-01,1914-12-01
16,1918-08-01,1919-03-01
17,1920-01-01,1921-07-01
18,1923-05-01,1924-07-01
19,1926-10-01,1927-11-01
20,1929-08-01,1933-03-01
21,1937-05-01,1938-06-01
22,1945-02-01,1945-10-01
23,1948-11-01,1949-10-01
24,1953-07-01,1954-05-01
25,1957-08-01,1958-04-01
26,1960-04-01,1961-02-01
27,1969-12-01,1970-11-01
28,1973-11-01,1975-03-01
29,1980-01-01,1980-07-01
30,1981-07-01,1982-11-01
31,1990-07-01,1991-03-01
32,2001-03-01,2001-11-01
33,2007-12-01,2009-06-01
