1968,DAILY ,GOLD  
 ,USD,GBP

02-Jan-68,35.181,14.641
03-Jan-68,35.159,14.617
04-Jan-68,35.141,14.603
05-Jan-68,35.14,14.597
08-Jan-68,35.138,14.586
09-Jan-68,35.138,14.576
10-Jan-68,35.149,14.576
11-Jan-68,35.17,14.596
12-Jan-68,35.176,14.607
15-Jan-68,35.183,14.597
16-Jan-68,35.188,14.596
17-Jan-68,35.196,14.613
18-Jan-68,35.195,14.608
19-Jan-68,35.194,14.61
22-Jan-68,35.19,14.606
23-Jan-68,35.193,14.607
24-Jan-68,35.198,14.603
25-Jan-68,35.196,14.604
26-Jan-68,35.198,14.604
29-Jan-68,35.194,14.6
30-Jan-68,35.19,14.593
31-Jan-68,35.196,14.592
01-Feb-68,35.196,14.594
02-Feb-68,35.196,14.595
05-Feb-68,35.193,14.594
06-Feb-68,35.191,14.597
07-Feb-68,35.196,14.593
08-Feb-68,35.194,14.6
09-Feb-68,35.195,14.602
12-Feb-68,35.193,14.598
13-Feb-68,35.193,14.599
14-Feb-68,35.195,14.595
15-Feb-68,35.198,14.601
16-Feb-68,35.198,14.601
19-Feb-68,35.198,14.598
20-Feb-68,35.196,14.594
21-Feb-68,35.198,14.597
22-Feb-68,35.198,14.602
23-Feb-68,35.198,14.615
26-Feb-68,35.196,14.629
27-Feb-68,35.196,14.63
28-Feb-68,35.198,14.627
29-Feb-68,35.199,14.641
01-Mar-68,35.199,14.66
04-Mar-68,35.198,14.669
05-Mar-68,35.199,14.676
06-Mar-68,35.199,14.642
07-Mar-68,35.198,14.669
08-Mar-68,35.198,14.708
11-Mar-68,35.199,14.676
12-Mar-68,35.196,14.689
13-Mar-68,35.198,14.688
14-Mar-68,35.199,14.726
15-Mar-68,***,***
18-Mar-68,***,***
19-Mar-68,***,***
20-Mar-68,***,***
21-Mar-68,***,***
22-Mar-68,***,***
25-Mar-68,***,***
26-Mar-68,***,***
27-Mar-68,***,***,,
28-Mar-68,***,***,,
29-Mar-68,***,***,,
 ,GOLD, A.M.,GOLD, P.M.
 ,USD,GBP,USD,GBP
01-Apr-68,38,15.806,37.7,15.6792
02-Apr-68,37.6,15.638,37.3,15.5104
03-Apr-68,37.7,15.675,37.6,15.6333
04-Apr-68,36.7,15.252,36.95,15.3563
05-Apr-68,37.2,15.471,37,15.3875
08-Apr-68,37,15.383,37.05,15.4063
09-Apr-68,37.25,15.485,37.5,15.5896
10-Apr-68,37.6,15.642,37.7,15.6854
11-Apr-68,38.05,15.844,38,15.8208
12-Apr-68,***,***,***,***
15-Apr-68,***,***,***,***
16-Apr-68,38.1,15.856,38,15.8146
17-Apr-68,38,15.81,37.8,15.7271
18-Apr-68,37.6,15.652,37.55,15.6292
19-Apr-68,37.65,15.681,37.65,15.6833
22-Apr-68,38.3,15.96,38,15.8375
23-Apr-68,38.05,15.858,38.4,16
24-Apr-68,38.35,15.985,38.25,15.9438
25-Apr-68,38.25,15.95,38.3,15.9708
26-Apr-68,38.5,16.058,38.65,16.1271
29-Apr-68,38.55,16.092,38.75,16.1688
30-Apr-68,39.1,16.315,39.1,16.3125
01-May-68,39.1,16.31,39.2,16.3542
02-May-68,39.25,16.379,39.45,16.4604
03-May-68,39.6,16.533,39.1,16.3188
06-May-68,39.7,16.575,39.75,16.5958
07-May-68,39.3,16.408,39.3,16.4083
08-May-68,39.5,16.49,39.75,16.5938
09-May-68,39.7,16.59,39.7,16.5896
10-May-68,39.8,16.642,39.6,16.5625
13-May-68,39.4,16.498,39.5,16.5375
14-May-68,39.6,16.575,39.8,16.6583
15-May-68,40.1,16.773,40.25,16.8333
16-May-68,40.85,17.098,42.25,17.275
17-May-68,41.6,17.433,41.5,17.3958
20-May-68,42,17.596,42.3,17.7292
21-May-68,42.6,17.858,42.4,17.775
22-May-68,42.2,17.683,41.55,17.4083
23-May-68,41.5,17.398,41.4,17.3563
24-May-68,41.75,17.51,41.75,17.5104
27-May-68,41.5,17.398,41.5,17.4
28-May-68,41.6,17.435,41.5,17.3938
29-May-68,41.5,17.396,41.6,17.4333
30-May-68,41.75,17.504,41.95,17.5979
31-May-68,42,17.621,41.95,17.6
03-Jun-68,***,***,***,***
04-Jun-68,41.2,17.269,41.15,17.2458
05-Jun-68,41.4,17.352,41.2,17.2688
06-Jun-68,41.25,17.296,41.2,17.2792
07-Jun-68,41.2,17.281,41.25,17.3042
10-Jun-68,41.35,17.333,41.3,17.3104
11-Jun-68,41.3,17.304,41.55,17.4104
12-Jun-68,42.1,17.638,41.9,17.5521
13-Jun-68,41.4,17.354,41.3,17.3125
14-Jun-68,40.2,16.854,41,17.1875
17-Jun-68,40.9,17.135,40.7,17.0542
18-Jun-68,40.7,17.05,41.1,17.2271
19-Jun-68,41.4,17.358,41.4,17.3604
20-Jun-68,41.05,17.219,41.1,17.2396
21-Jun-68,41.05,17.221,41.05,17.2229
24-Jun-68,41.05,17.223,40.9,17.1583
25-Jun-68,40.85,17.142,40.95,17.1833
26-Jun-68,40.95,17.183,40.85,17.1396
27-Jun-68,40.8,17.123,40.9,17.1667
28-Jun-68,40.95,17.188,40.9,17.1667
01-Jul-68,40.9,17.163,40.8,17.1188
02-Jul-68,40.85,17.138,40.9,17.1583
03-Jul-68,40.9,17.158,41.05,17.2208
04-Jul-68,41.05,17.229,41.15,17.2708
05-Jul-68,41.1,17.25,41,17.2083
08-Jul-68,40.95,17.165,40.85,17.1167
09-Jul-68,40.6,16.994,39.8,16.6708
10-Jul-68,40.15,16.814,40.1,16.7938
11-Jul-68,39.4,16.506,39.1,16.3646
12-Jul-68,39.1,16.356,39.3,16.4396
15-Jul-68,39.15,16.369,39.2,16.3896
16-Jul-68,38.9,16.269,38.5,16.1
17-Jul-68,37.8,15.8,37.75,15.7813
18-Jul-68,38,15.892,38,15.8917
19-Jul-68,39.1,16.354,38.7,16.1854
22-Jul-68,38.65,16.16,38.6,16.1375
23-Jul-68,38.65,16.158,39,16.3063
24-Jul-68,39.2,16.385,39.2,16.3854
25-Jul-68,39.1,16.344,38.9,16.2604
26-Jul-68,38.75,16.188,38.9,16.25
29-Jul-68,38.9,16.238,39.1,16.3271
30-Jul-68,39.1,16.329,39,16.2875
31-Jul-68,38.9,16.242,38.85,16.2208
01-Aug-68,38.8,16.206,38.9,16.2458
02-Aug-68,38.8,16.206,38.85,16.2271
05-Aug-68,38.85,16.223,38.95,16.2667
06-Aug-68,38.85,16.225,38.7,16.1625
07-Aug-68,38.8,16.2,38.7,16.1604
08-Aug-68,38.55,16.1,38.45,16.0604
09-Aug-68,38.45,16.063,38.55,16.1042
12-Aug-68,38.6,16.123,38.6,16.1208
13-Aug-68,38.75,16.188,38.9,16.2583
14-Aug-68,38.95,16.281,38.95,16.2792
15-Aug-68,39,16.3,39.15,16.3646
16-Aug-68,39.1,16.344,39.15,16.3646
19-Aug-68,39.15,16.363,39.15,16.3625
20-Aug-68,39.35,16.448,39.55,16.5313
21-Aug-68,40.3,16.846,40,16.7375
22-Aug-68,39.65,16.596,39.75,16.6396
23-Aug-68,39.65,16.604,39.5,16.5417
26-Aug-68,39.4,16.498,39.5,16.5417
27-Aug-68,39.55,16.56,39.65,16.6042
28-Aug-68,39.55,16.565,39.6,16.5854
29-Aug-68,39.8,16.679,39.85,16.7063
30-Aug-68,39.85,16.717,39.8,16.6979
03-Sep-68,39.975,16.767,39.95,16.7563
04-Sep-68,39.9,16.735,39.9,16.7333
05-Sep-68,39.95,16.76,40.1,16.8292
06-Sep-68,40,16.788,39.9,16.7417
09-Sep-68,40,16.767,40.05,16.7792
10-Sep-68,40,16.758,40.025,16.7688
11-Sep-68,40,16.754,40.1,16.7958
12-Sep-68,40.05,16.779,40.1,16.8
13-Sep-68,40.175,16.833,40.15,16.8229
16-Sep-68,40.2,16.846,40.3,16.8875
