1991,GOLD, A.M.,GOLD, P.M.
 ,USD,GBP,USD,GBP
02-Jan-91,392.5,202.48,390.8,200.93
03-Jan-91,386.75,198.74,386.3,198.43
04-Jan-91,388.1,199.35,387.4,199.85
07-Jan-91,391,205.25,391.1,205.54
08-Jan-91,392.8,206.19,389.7,204.55
09-Jan-91,390.7,205.38,387.1,201.35
10-Jan-91,388.5,203.21,390.55,204.48
11-Jan-91,390.4,204.61,390.6,205.13
14-Jan-91,395.35,208.68,398.6,209.18
15-Jan-91,398,208.79,398.5,209.3
16-Jan-91,403.7,211.81,403,211.53
17-Jan-91,383.5,199.5,379,197.45
18-Jan-91,380,197.32,378.25,196.04
21-Jan-91,378.25,194.25,378.2,193.98
22-Jan-91,381.25,195.04,381,194.99
23-Jan-91,377.9,194.69,378.3,193.82
24-Jan-91,377.05,192.57,373,189.7
25-Jan-91,373.8,190.67,374.25,191.14
28-Jan-91,374.5,190.73,374.5,190.49
29-Jan-91,377.6,191.7,376.8,191.25
30-Jan-91,369.75,188.79,367.1,188.21
31-Jan-91,369.6,188.41,366,186.26
01-Feb-91,367.95,187.14,364.5,184.56
04-Feb-91,367,185.66,367.15,185.78
05-Feb-91,367.15,184.99,366.6,184.87
06-Feb-91,360.9,180.83,360.75,180.92
07-Feb-91,363.5,182.19,363.9,182.34
08-Feb-91,368.3,185.4,370,186.07
11-Feb-91,368,184.67,366.85,183.84
12-Feb-91,362.05,181.94,364.4,183.07
13-Feb-91,367.05,184.37,366.75,184.05
14-Feb-91,366.85,185.09,368.15,185.49
15-Feb-91,366.25,184.93,365.5,185.06
18-Feb-91,364.6,185.31,363.75,185.35
19-Feb-91,361.6,185.25,363,185.33
20-Feb-91,363.75,186.25,364.65,187.02
21-Feb-91,361.5,184.53,362.25,185.44
22-Feb-91,358.9,182.88,358.8,183.23
25-Feb-91,357.5,184.51,357.65,185.46
26-Feb-91,359.1,186.08,359.25,187.7
27-Feb-91,360,187.81,360,188.01
28-Feb-91,363,188.92,362.7,189.42
01-Mar-91,367.45,193.34,366.9,192.72
04-Mar-91,365.5,192.62,365.45,192.75
05-Mar-91,364.3,190.86,364.5,190.86
06-Mar-91,363.6,192.55,366.2,194.53
07-Mar-91,366.25,193.29,366.5,193.86
08-Mar-91,367.5,195.17,368.5,196.3
11-Mar-91,369.25,198.47,365.85,197.06
12-Mar-91,363.95,195.25,364.25,195.62
13-Mar-91,365.2,196.26,366,197.32
14-Mar-91,365.7,196.75,364.6,196.05
15-Mar-91,363.6,196.33,366,198.62
18-Mar-91,363.4,199.48,362.3,201.28
19-Mar-91,362,201.5,364.5,207.1
20-Mar-91,364.2,204.84,364.5,205.24
21-Mar-91,362.1,201.06,362.35,201.51
22-Mar-91,362.95,201.36,362.75,202.88
25-Mar-91,361.75,204.84,359.25,203.66
26-Mar-91,358,204.89,356.6,204.12
27-Mar-91,357.1,202.96,354.05,203.48
28-Mar-91,354,203.68,355.65,204.93
