1968,GOLD AM,,GOLD PM,,SILVER,
,$,£,$,£,¢,p
Jan High,35.1975,14.6406,,,222.5,92.5
Jan Low,35.1375,14.576,,,196,81.25
Jan Avg,35.1773,14.6015,,,209.2136,86.8419
Feb High,35.1988,14.6406,,,210.5,87.5
Feb Low,35.1913,14.5927,,,191.9,79.5833
Feb Avg,35.1958,14.6048,,,199.7048,82.8671
Mar High,35.1988,14.726,,,249,104.1667
Mar Low,35.1963,14.6417,,,211.9,88.3333
Mar Avg,35.198,14.6802,,,225.01,93.7708
Apr High,39.1,16.3146,39.1,16.3125,239.7,100
Apr Low,36.7,15.2521,36.95,15.3563,210.4,87.5
Apr Avg,37.8775,15.7707,37.8625,15.7642,225.52,93.901
May High,42.6,17.8583,42.4,17.775,255.4,107.0833
May Low,39.1,16.3104,39.1,16.3188,224.5,93.75
May Avg,40.6913,17.0306,40.7413,17.0342,241.4957,101.0779
June High,42.1,17.6375,41.9,17.5521,257.6,107.9167
June Low,40.2,16.8542,40.7,17.0542,242.1,101.4583
June Avg,41.1105,17.238,41.1421,17.2521,247.8316,103.9145
July High,41.1,17.25,41.15,17.2708,251.2,105.4167
July Low,37.8,15.8,37.75,15.7813,223.5,93.3333
July Avg,39.5304,16.5434,39.4674,16.5168,235.6913,98.6322
Aug High,40.3,16.8458,40,16.7375,233.2,97.5
Aug Low,38.45,16.0625,38.45,16.0604,206.4,86.25
Aug Avg,39.1705,16.3788,39.1909,16.3892,220.9591,92.3958
Sept High,40.55,16.9688,40.5,16.9479,227.4,95.4167
Sept Low,39.7,16.6292,39.6,16.5729,216.8,90.8333
Sept Avg,40.2025,16.8394,40.185,16.8313,222.5,93.1979
Oct High,39.8,16.6542,39.775,16.6417,214,89.5833
Oct Low,38.3,16.0271,38.9,16.275,184.2,77.0833
Oct Avg,39.2098,16.4088,39.2076,16.4056,198.8304,83.1975
Nov High,40.75,16.9063,40.55,16.8813,210.5,89.5833
Nov Low,38.9,16.2646,39.175,16.3833,190.3,79.5833
Nov Avg,39.7952,16.6243,39.7786,16.6269,200.7722,84.8264
