1991,DAILY,SILVER
 ,US¢,GBP
02-Jan-91,416.35,214.85
03-Jan-91,409.65,210.45
04-Jan-91,421,216.1
07-Jan-91,420.25,221.35
08-Jan-91,425,223.1
09-Jan-91,408.5,213.75
10-Jan-91,413.85,216.7
11-Jan-91,415.1,217.85
14-Jan-91,419.5,220.9
15-Jan-91,420.5,220.7
16-Jan-91,422.4,221.6
17-Jan-91,409.75,213.2
18-Jan-91,404.1,209.6
21-Jan-91,403.75,207.65
22-Jan-91,402.85,205.8
23-Jan-91,397.75,204.5
24-Jan-91,387.25,197.65
25-Jan-91,383.5,195.05
28-Jan-91,380.6,193.85
29-Jan-91,385.75,195.5
30-Jan-91,380.9,194.5
31-Jan-91,382.6,194.9
01-Feb-91,387.85,197.3
04-Feb-91,386.25,195.1
05-Feb-91,382.2,192.6
06-Feb-91,381,191.25
07-Feb-91,380,190.5
08-Feb-91,383.25,192.95
11-Feb-91,381.55,191.5
12-Feb-91,366,183.7
13-Feb-91,372,186.85
14-Feb-91,376.9,189.95
15-Feb-91,381.85,193.3
18-Feb-91,377.6,192.3
19-Feb-91,374,191.7
20-Feb-91,369.9,189.3
21-Feb-91,366.3,186.95
22-Feb-91,362,184.75
25-Feb-91,354.75,183.25
26-Feb-91,362.65,188.4
27-Feb-91,361.4,188.7
28-Feb-91,367.85,191.6
01-Mar-91,375.5,197.6
04-Mar-91,375.5,197.85
05-Mar-91,382,200.2
06-Mar-91,383.1,202.8
07-Mar-91,390.75,206.8
08-Mar-91,400.1,212.95
11-Mar-91,417,223.95
12-Mar-91,397.9,213.45
13-Mar-91,405.9,218.4
14-Mar-91,403,217
15-Mar-91,403.25,218.25
18-Mar-91,405.25,224.45
19-Mar-91,394.4,218.95
20-Mar-91,403.75,228.5
21-Mar-91,397.55,221.5
22-Mar-91,400.8,224.35
25-Mar-91,395.25,224.15
26-Mar-91,391.75,224.6
27-Mar-91,389.9,223.2
28-Mar-91,383.6,221.05
02-Apr-91,393.5,224.65
03-Apr-91,406.5,228.55
04-Apr-91,405.75,229.05
05-Apr-91,403.75,226.1
08-Apr-91,396,224.5
09-Apr-91,400,225
10-Apr-91,402.35,225.1
11-Apr-91,398.65,224.15
12-Apr-91,401.75,224.2
15-Apr-91,397.75,222.8
16-Apr-91,402.4,224.2
17-Apr-91,407,227.8
18-Apr-91,412.1,232.45
19-Apr-91,395.25,226.65
22-Apr-91,392,229.15
23-Apr-91,394.5,232.25
24-Apr-91,393.75,230.2
25-Apr-91,387.4,229.45
26-Apr-91,390,230.85
29-Apr-91,388.75,232.45
30-Apr-91,393.35,230.25
01-May-91,397.25,228.15
02-May-91,393.35,229.85
03-May-91,401.75,232.75
07-May-91,402.5,234.6
08-May-91,402.5,233.9
09-May-91,406.25,237.7
10-May-91,403.25,235.4
13-May-91,403.6,234.25
14-May-91,400.25,231.5
15-May-91,411.7,235.95
16-May-91,410,234.6
17-May-91,401.65,230.45
20-May-91,400.5,235.15
21-May-91,404,233.1
22-May-91,409,235.65
23-May-91,403.75,234.6
24-May-91,405,233.1
28-May-91,405.9,234.5
29-May-91,414.2,237.45
30-May-91,411.75,238.85
31-May-91,413.25,241.55
03-Jun-91,415.6,246.3
04-Jun-91,415.25,245.4
05-Jun-91,416.6,246.6
06-Jun-91,424.15,251.05
07-Jun-91,449.15,266.85
10-Jun-91,457.1,274.1
11-Jun-91,448.1,269.2
12-Jun-91,451.4,272.8
13-Jun-91,446.5,273.6
14-Jun-91,451,277.05
17-Jun-91,438.85,270.05
18-Jun-91,447.75,278.2
19-Jun-91,443.15,274.5
20-Jun-91,444.25,271.8
21-Jun-91,444.25,272.55
24-Jun-91,434.1,267.05
25-Jun-91,436,267.5
26-Jun-91,441.75,271.25
27-Jun-91,435.5,266.6
28-Jun-91,445.35,274.5
01-Jul-91,445.25,273.75
02-Jul-91,442.4,274.85
03-Jul-91,442.75,275.95
04-Jul-91,449.5,279.9
05-Jul-91,453.35,282.2
08-Jul-91,450.5,276.75
09-Jul-91,446.15,274.5
10-Jul-91,447.65,276.85
11-Jul-91,442,272.65
12-Jul-91,438,270.35
15-Jul-91,439,267.1
16-Jul-91,437.25,264.75
17-Jul-91,440.25,267.85
18-Jul-91,444.75,266.4
19-Jul-91,439.5,262
22-Jul-91,440.15,261.35
23-Jul-91,432.5,258.4
24-Jul-91,423.1,251.25
25-Jul-91,412.75,245.1
26-Jul-91,410.05,243.5
29-Jul-91,410.9,244.2
30-Jul-91,404.75,240.2
31-Jul-91,406.75,241.4
01-Aug-91,405.4,240.45
02-Aug-91,397.15,238.4
05-Aug-91,393.5,232.35
06-Aug-91,395.85,230.7
07-Aug-91,396.5,232.05
08-Aug-91,397.25,231.65
09-Aug-91,396.65,232.85
12-Aug-91,399.15,235.4
13-Aug-91,395.35,233.05
14-Aug-91,394.6,233.9
15-Aug-91,397,235.8
16-Aug-91,396.15,236.85
19-Aug-91,404.75,248.85
20-Aug-91,400.25,243.15
21-Aug-91,393,236.75
22-Aug-91,394.25,234.4
23-Aug-91,388,229.3
27-Aug-91,395.35,235.55
28-Aug-91,395,235.7
29-Aug-91,394.1,232.9
30-Aug-91,381.5,226.15
02-Sep-91,383.1,227.4
03-Sep-91,387.35,229.05
04-Sep-91,392.8,231.9
05-Sep-91,386.25,228
06-Sep-91,387.1,228.4
09-Sep-91,400.3,232.3
10-Sep-91,406.35,234.4
11-Sep-91,397,230.1
12-Sep-91,397.15,229.5
13-Sep-91,396.5,229.25
16-Sep-91,406,234.6
17-Sep-91,407.75,233.8
18-Sep-91,409.4,236.1
19-Sep-91,409.5,236.9
20-Sep-91,407.25,236.3
23-Sep-91,412.25,236.5
24-Sep-91,424.5,244.55
25-Sep-91,423.5,243.75
26-Sep-91,422.15,243.45
27-Sep-91,409,236.4
30-Sep-91,413.5,235.9
01-Oct-91,414.65,237.3
02-Oct-91,421.6,240.5
03-Oct-91,417.35,237.75
04-Oct-91,417.25,238.2
07-Oct-91,413,237.6
08-Oct-91,407.1,236
09-Oct-91,408.25,239.7
10-Oct-91,411.75,238.85
11-Oct-91,405,235.95
14-Oct-91,409.85,238.15
15-Oct-91,407.65,238.55
16-Oct-91,405.25,237.25
17-Oct-91,412.5,241.15
18-Oct-91,412,239.9
21-Oct-91,417.3,242.2
22-Oct-91,415.75,242.75
23-Oct-91,414.5,242.9
24-Oct-91,408.65,239.05
25-Oct-91,412.15,240.65
28-Oct-91,408.35,239.7
29-Oct-91,405.25,238.45
30-Oct-91,411.25,237.15
31-Oct-91,409,235
01-Nov-91,410.2,235.4
04-Nov-91,407.85,229.9
05-Nov-91,410.5,232.05
06-Nov-91,407.25,229.3
07-Nov-91,407,229.25
08-Nov-91,402.5,228.55
11-Nov-91,403.75,228.95
12-Nov-91,403.5,227.4
13-Nov-91,404.9,228.55
14-Nov-91,404.35,227.75
15-Nov-91,401,226.25
18-Nov-91,405.15,224.95
19-Nov-91,404.4,225.35
