"Index","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
1993-01-29,43.97,43.97,43.75,43.94,1003200,30.7
1993-02-01,43.97,44.25,43.97,44.25,480500,30.92
1993-02-02,44.22,44.38,44.13,44.34,201300,30.98
1993-02-03,44.41,44.84,44.38,44.81,529400,31.31
1993-02-04,44.97,45.09,44.47,45,531500,31.44
1993-02-05,44.97,45.06,44.72,44.97,492100,31.42
1993-02-08,44.97,45.13,44.91,44.97,596100,31.42
1993-02-09,44.81,44.81,44.56,44.66,122100,31.21
1993-02-10,44.66,44.75,44.53,44.72,379600,31.25
1993-02-11,44.78,45.13,44.78,44.94,19500,31.4
1993-02-12,44.88,44.88,44.59,44.59,42500,31.16
1993-02-16,44.47,44.47,43.41,43.47,374800,30.38
1993-02-17,43.47,43.53,43.28,43.44,210900,30.35
1993-02-18,43.94,43.94,42.81,43.41,378100,30.33
1993-02-19,43.41,43.56,43.34,43.56,34900,30.44
1993-02-22,43.69,43.78,43.56,43.72,513600,30.55
1993-02-23,43.84,43.88,43.47,43.69,373700,30.53
1993-02-24,43.72,44.25,43.72,44.25,26300,30.92
1993-02-25,44.22,44.38,44.13,44.34,44500,30.98
1993-02-26,44.44,44.44,44.19,44.41,66200,31.03
1993-03-01,44.56,44.56,44.22,44.28,66500,30.94
1993-03-02,44.31,44.94,44.25,44.94,182400,31.4
1993-03-03,45,45.16,44.94,45.13,280100,31.54
1993-03-04,45.19,45.19,44.88,44.88,89500,31.36
1993-03-05,44.94,45.13,44.72,44.75,40000,31.27
1993-03-08,44.84,45.75,44.84,45.75,50800,31.97
1993-03-09,45.66,45.69,45.5,45.59,169300,31.86
1993-03-10,45.59,45.69,45.41,45.69,194400,31.93
1993-03-11,45.72,45.84,45.5,45.56,70900,31.84
1993-03-12,45.19,45.22,44.81,45.09,643600,31.51
1993-03-15,45.06,45.31,45.06,45.31,310800,31.66
1993-03-16,45.31,45.44,45.31,45.31,30800,31.66
1993-03-17,45.25,45.25,44.97,45.03,21800,31.47
1993-03-18,45.22,45.5,45.22,45.31,59300,31.66
1993-03-19,45.28,45.28,45.03,45.03,66900,31.7
1993-03-22,44.59,44.88,44.56,44.78,183400,31.53
1993-03-23,44.91,44.94,44.81,44.88,55200,31.6
1993-03-24,44.81,45.06,44.59,44.88,37200,31.6
1993-03-25,44.91,45.25,44.84,45.16,110100,31.79
1993-03-26,45.13,45.16,44.88,44.91,101500,31.62
1993-03-29,44.94,45.31,44.94,45.09,87100,31.74
1993-03-30,45.16,45.22,45.09,45.22,56000,31.84
1993-03-31,45.34,45.47,45.19,45.19,111600,31.81
1993-04-01,45.25,45.25,44.94,45.03,129500,31.7
1993-04-02,44.66,44.66,44.09,44.09,59400,31.04
1993-04-05,44.44,44.44,44.19,44.31,172200,31.19
1993-04-06,44.41,44.41,44.06,44.19,129700,31.11
1993-04-07,44.25,44.34,44.16,44.34,28000,31.22
1993-04-08,44.53,44.53,44.09,44.28,180800,31.17
1993-04-12,44.72,44.94,44.66,44.91,348500,31.62
1993-04-13,44.88,45.16,44.84,45,146100,31.68
1993-04-14,45.03,45.06,44.91,44.94,119600,31.64
1993-04-15,44.91,45.03,44.75,44.94,148600,31.64
1993-04-16,44.97,45.03,44.88,44.94,47900,31.64
1993-04-19,44.94,45.06,44.72,44.75,157000,31.5
1993-04-20,44.69,44.75,44.25,44.53,279500,31.35
1993-04-21,44.63,44.63,44.38,44.5,67900,31.33
1993-04-22,44.31,44.69,43.94,43.94,97700,30.93
1993-04-23,43.84,43.97,43.69,43.75,106000,30.8
1993-04-26,43.78,43.94,43.28,43.41,62600,30.56
1993-04-27,43.34,43.88,43.34,43.88,156800,30.89
1993-04-28,43.81,43.91,43.72,43.78,85900,30.82
1993-04-29,43.88,43.97,43.63,43.97,85000,30.96
1993-04-30,44.13,44.28,44.03,44.03,88500,31
1993-05-03,44.09,44.31,43.91,44.31,80500,31.19
1993-05-04,44.41,44.63,44.34,44.47,149100,31.31
1993-05-05,44.47,44.75,44.47,44.59,109000,31.39
1993-05-06,44.53,44.56,44.41,44.44,54700,31.29
1993-05-07,44.47,44.47,44.28,44.34,68000,31.22
1993-05-10,44.41,44.69,44.41,44.44,113900,31.29
1993-05-11,44.44,44.63,44.31,44.63,42600,31.42
1993-05-12,44.44,44.59,44.44,44.56,31000,31.37
1993-05-13,44.38,44.38,44,44.03,129100,31
1993-05-14,44.03,44.16,43.97,44,63500,30.98
1993-05-17,44.13,44.16,43.94,44.16,34000,31.09
1993-05-18,44.19,44.22,43.97,44.13,105200,31.07
1993-05-19,44.13,45.03,43.84,45.03,50200,31.7
1993-05-20,45.03,45.16,44.94,45.16,98200,31.79
1993-05-21,45.19,45.25,44.72,44.75,221400,31.5
1993-05-24,44.84,45.09,44.84,44.94,30500,31.64
1993-05-25,45.13,45.13,45.03,45.03,191800,31.7
1993-05-26,45.16,45.63,45.13,45.59,102400,32.1
1993-05-27,45.66,45.66,45.38,45.44,53800,31.99
1993-05-28,45.41,45.41,45,45.22,79100,31.84
1993-06-01,45.38,45.81,45.31,45.66,28300,32.14
1993-06-02,45.53,45.75,45.34,45.59,20300,32.1
1993-06-03,45.5,45.5,45.34,45.44,21600,31.99
1993-06-04,45.31,45.31,45.09,45.28,32000,31.88
1993-06-07,45.38,45.38,45.13,45.13,121400,31.77
1993-06-08,45,45,44.72,44.72,104500,31.48
1993-06-09,44.88,45.06,44.81,44.88,43300,31.6
1993-06-10,44.84,44.94,44.75,44.91,17900,31.62
1993-06-11,45.06,45.16,44.91,45.09,647400,31.74
1993-06-14,45.16,45.19,45.03,45.03,64200,31.7
1993-06-15,45.09,45.13,44.94,44.94,142400,31.64
1993-06-16,44.94,45.03,44.81,45.03,330900,31.7
1993-06-17,45.13,45.19,45.03,45.19,37400,31.81
1993-06-18,44.84,44.84,44.5,44.5,58500,31.53
1993-06-21,44.63,44.63,44.53,44.59,29300,31.59
1993-06-22,44.66,44.66,44.56,44.63,137500,31.62
1993-06-23,44.63,44.63,44.22,44.22,227600,31.33
1993-06-24,44.34,44.81,44.34,44.81,243700,31.74
1993-06-25,44.78,44.91,44.75,44.78,44800,31.72
1993-06-28,45,45.28,44.94,45.28,439900,32.08
1993-06-29,45.22,45.22,45,45.06,207500,31.92
1993-06-30,45.13,45.22,45,45.06,437600,31.92
1993-07-01,45.13,45.13,44.88,44.94,605700,31.84
1993-07-02,44.78,44.81,44.53,44.69,285400,31.66
1993-07-06,44.63,44.75,44.16,44.22,246400,31.33
1993-07-07,44.19,44.41,44.19,44.34,343700,31.41
1993-07-08,44.38,44.94,44.31,44.84,248200,31.77
1993-07-09,44.84,44.97,44.75,44.97,378200,31.86
1993-07-12,44.91,44.97,44.84,44.94,373700,31.84
1993-07-13,44.97,45.09,44.66,44.91,389600,31.82
1993-07-14,44.94,45.19,44.91,45.06,617300,31.92
1993-07-15,45.03,45.03,44.78,44.88,443800,31.79
1993-07-16,44.91,44.94,44.69,44.75,216400,31.7
1993-07-19,44.75,44.75,44.59,44.72,188200,31.68
1993-07-20,44.69,44.84,44.47,44.84,68500,31.77
1993-07-21,44.78,44.81,44.66,44.81,142700,31.74
1993-07-22,44.75,44.81,44.5,44.5,632400,31.53
1993-07-23,44.59,44.72,44.56,44.72,286200,31.68
1993-07-26,44.84,45.06,44.84,44.97,121300,31.86
1993-07-27,45,45.03,44.78,44.94,92800,31.84
1993-07-28,44.84,44.94,44.78,44.84,30800,31.77
1993-07-29,44.94,45.22,44.88,45.09,331000,31.94
1993-07-30,45.09,45.09,44.78,44.84,75300,31.77
1993-08-02,44.91,45.13,44.91,44.97,41300,31.86
1993-08-03,45.06,45.19,44.84,45,81600,31.88
1993-08-04,45,45.09,44.88,45,434000,31.88
1993-08-05,45,45,44.84,44.91,36800,31.82
1993-08-06,45.03,45.06,44.91,44.97,402300,31.86
1993-08-09,45.09,45.34,45,45.22,828200,32.04
1993-08-10,45.19,45.22,45.13,45.19,604900,32.01
