"Index","TLT.Open","TLT.High","TLT.Low","TLT.Close","TLT.Volume","TLT.Adjusted"
2002-07-31,81.95,82.8,81.9,82.53,29400,52.44
2002-08-01,82.54,83.02,82.54,83,25000,52.74
2002-08-02,83.16,84.1,82.88,83.85,52800,53.28
2002-08-05,84.04,84.44,83.85,84.22,61100,53.52
2002-08-06,83.87,83.9,83.22,83.5,64900,53.06
2002-08-07,83.6,84.14,83.36,83.7,40300,53.19
2002-08-08,83.58,83.77,83.36,83.7,40900,53.19
2002-08-09,84,84.88,84,84.88,35900,53.94
2002-08-12,85.3,86.7,85.14,85.4,32100,54.27
2002-08-13,85.78,86.47,85.37,86.45,75400,54.93
2002-08-14,87.46,87.9,86.75,86.78,130000,55.14
2002-08-15,86.38,86.5,85.85,86.02,87100,54.66
2002-08-16,86.44,86.52,84.82,85.06,85000,54.05
2002-08-19,85.05,85.34,84.71,85.32,47300,54.22
2002-08-20,85.62,86.29,85.6,86.27,40800,54.82
2002-08-21,85.68,86.1,85.63,85.81,40000,54.53
2002-08-22,85.55,85.55,85.06,85.06,34400,54.05
2002-08-23,85.2,85.95,85.2,85.9,20100,54.58
2002-08-26,85.7,86.21,85.67,85.98,23900,54.64
2002-08-27,85.4,85.68,85.2,85.44,301800,54.29
2002-08-28,86.04,86.18,85.84,85.87,18100,54.57
2002-08-29,86.76,86.86,86.35,86.56,135700,55
2002-08-30,86.75,87.13,86.45,87.08,78100,55.33
2002-09-03,87.08,88.04,87,88.04,102100,56.19
2002-09-04,88.03,88.3,87.84,88.02,66300,56.17
2002-09-05,88.57,88.65,87.38,88.5,648400,56.48
2002-09-06,87.97,88.19,87.2,87.46,140000,55.82
2002-09-09,87.5,87.83,87.26,87.33,83800,55.73
2002-09-10,87.17,88,87,87.75,336000,56
2002-09-11,87,87.3,86.75,87.29,177700,55.71
2002-09-12,87.48,88.14,87.47,87.97,43400,56.14
2002-09-13,88.33,88.94,88.18,88.78,155100,56.66
2002-09-16,89.2,89.22,88.9,88.93,73000,56.75
2002-09-17,88.64,89.32,88.36,89.1,75400,56.86
2002-09-18,89.16,89.56,89.02,89.12,196600,56.87
2002-09-19,89.7,89.77,89.26,89.72,109900,57.26
2002-09-20,89.45,89.52,89.06,89.3,113500,56.99
2002-09-23,90,90.24,89.77,90.1,163200,57.5
2002-09-24,90.3,90.94,90.21,90.68,251900,57.87
2002-09-25,90.1,90.36,89.26,89.58,127200,57.17
2002-09-26,89.05,89.53,88.61,89.37,429000,57.03
2002-09-27,89.53,90.04,89.48,90.04,298200,57.46
2002-09-30,90.66,90.9,90.08,90.4,297800,57.69
2002-10-01,89.16,89.3,88.8,88.94,257500,56.98
2002-10-02,89.24,89.48,88.84,89.45,91000,57.3
2002-10-03,89.3,89.51,88.8,89.23,29900,57.16
2002-10-04,88.4,89.72,88.4,89.51,131000,57.34
2002-10-07,89.9,89.96,89.46,89.66,433800,57.44
2002-10-08,89.5,90.52,89.36,89.69,530900,57.46
2002-10-09,90.3,90.38,89.95,90.15,402900,57.75
2002-10-10,90.17,90.17,89.28,89.44,97100,57.3
2002-10-11,89.1,89.22,88.06,88.38,421800,56.62
2002-10-14,88.5,88.55,88.07,88.25,18300,56.53
2002-10-15,87,87.3,86.15,86.16,297100,55.2
2002-10-16,86.6,86.6,85.89,86.2,125200,55.22
2002-10-17,85.14,85.56,85.07,85.15,233400,54.55
2002-10-18,85.02,85.39,84.28,85.37,459100,54.69
2002-10-21,85.5,85.6,84.5,84.54,134900,54.16
2002-10-22,84.85,84.85,84.22,84.3,205000,54
2002-10-23,84.75,85.2,84.18,84.33,127800,54.02
2002-10-24,84.16,85.25,84.08,85.07,339600,54.5
2002-10-25,85.35,85.56,85.15,85.38,146100,54.7
2002-10-28,85.56,85.64,85.2,85.26,97800,54.62
2002-10-29,85.82,86.89,85.77,86.37,125000,55.33
2002-10-30,86.37,86.68,86.07,86.34,31900,55.31
2002-10-31,86.05,86.86,86.02,86.73,512700,55.56
2002-11-01,86.3,86.93,85.25,85.98,125100,55.33
2002-11-04,85.48,85.75,85.25,85.6,342500,55.08
2002-11-05,85.6,85.6,85.09,85.27,73800,54.87
2002-11-06,85.05,86.13,84.91,85.61,118500,55.09
2002-11-07,87.05,87.73,86.85,87.73,147900,56.45
2002-11-08,88.4,88.65,87.95,88.44,294700,56.91
2002-11-11,88.55,88.92,88.4,88.92,70000,57.22
2002-11-12,89.15,89.15,88.37,88.41,494300,56.89
2002-11-13,88.45,88.69,87.96,88.6,104700,57.01
2002-11-14,87.65,87.65,86.76,86.76,118000,55.83
2002-11-15,86.54,87.23,86.26,87.11,110700,56.05
2002-11-18,87.02,87.63,86.96,87.5,32200,56.31
2002-11-19,87.95,88.23,87.51,87.82,51800,56.51
2002-11-20,88.2,88.22,86.81,86.96,307400,55.96
2002-11-21,86.5,86.5,85.86,86.12,323200,55.42
2002-11-22,86.33,86.39,85.88,86.04,184800,55.37
2002-11-25,86,86.38,85.8,85.88,288200,55.26
2002-11-26,86.2,87.02,86.15,86.96,377800,55.96
2002-11-27,86.25,86.33,84.96,85,325600,54.7
2002-11-29,85.16,85.63,85.14,85.55,31700,55.05
2002-12-02,84.36,85.4,84.15,85.24,284900,55.1
2002-12-03,85.7,85.7,85.12,85.36,113800,55.18
2002-12-04,85.9,86,85.55,85.8,129000,55.46
2002-12-05,85.28,86.28,85.26,86.02,206400,55.61
2002-12-06,87,87.09,85.76,86.17,440500,55.7
2002-12-09,86.2,86.85,86.17,86.65,400300,56.01
2002-12-10,86.61,86.93,86.5,86.88,151600,56.16
2002-12-11,87.15,87.65,86.96,87.46,163800,56.54
2002-12-12,87.06,87.6,87.06,87.38,135800,56.49
2002-12-13,87.14,87.16,86.53,86.53,425800,55.94
2002-12-16,86.9,86.9,85.84,85.88,115700,55.52
2002-12-17,86.3,86.35,85.68,85.88,290600,55.52
2002-12-18,86.48,86.69,86.25,86.55,191000,55.95
2002-12-19,86.8,87.49,86.65,87.32,134400,56.45
2002-12-20,87.23,87.56,87.15,87.38,41900,56.49
2002-12-23,87.36,87.4,86.25,87.4,74200,56.5
2002-12-24,88,88.08,87.84,87.89,46600,56.82
2002-12-26,87.9,88.06,87.73,88.06,13500,56.93
2002-12-27,88.55,89.03,88.28,89.03,140200,57.55
2002-12-30,88.9,89.24,88.63,89.24,274900,57.69
2002-12-31,88.95,89.33,88.32,88.57,109400,57.54
2003-01-02,87.7,87.9,86.21,86.28,192100,56.05
2003-01-03,86.15,86.54,85.83,86.48,311200,56.18
2003-01-06,86.17,86.29,85.81,86.25,35600,56.04
2003-01-07,86.19,86.75,86.17,86.56,69800,56.24
2003-01-08,86.88,87.14,86.78,86.99,160100,56.52
2003-01-09,86.17,86.17,85.02,85.32,237500,55.43
2003-01-10,85.92,85.92,85.12,85.54,145200,55.57
