"Index","TYX.Open","TYX.High","TYX.Low","TYX.Close","TYX.Volume","TYX.Adjusted"
1977-02-15,7.7,7.7,7.7,7.7,0,7.7
1977-02-16,7.67,7.67,7.67,7.67,0,7.67
1977-02-17,7.67,7.67,7.67,7.67,0,7.67
1977-02-18,7.76,7.76,7.76,7.76,0,7.76
1977-02-22,7.77,7.77,7.77,7.77,0,7.77
1977-02-23,7.81,7.81,7.81,7.81,0,7.81
1977-02-24,7.82,7.82,7.82,7.82,0,7.82
1977-02-25,7.79,7.79,7.79,7.79,0,7.79
1977-02-28,7.8,7.8,7.8,7.8,0,7.8
1977-03-01,7.84,7.84,7.84,7.84,0,7.84
1977-03-02,7.81,7.81,7.81,7.81,0,7.81
1977-03-03,7.79,7.79,7.79,7.79,0,7.79
1977-03-04,7.82,7.82,7.82,7.82,0,7.82
1977-03-07,7.84,7.84,7.84,7.84,0,7.84
1977-03-08,7.84,7.84,7.84,7.84,0,7.84
1977-03-09,7.81,7.81,7.81,7.81,0,7.81
1977-03-10,7.81,7.81,7.81,7.81,0,7.81
1977-03-11,7.8,7.8,7.8,7.8,0,7.8
1977-03-14,7.8,7.8,7.8,7.8,0,7.8
1977-03-15,7.78,7.78,7.78,7.78,0,7.78
1977-03-16,7.79,7.79,7.79,7.79,0,7.79
1977-03-17,7.78,7.78,7.78,7.78,0,7.78
1977-03-18,7.76,7.76,7.76,7.76,0,7.76
1977-03-21,7.74,7.74,7.74,7.74,0,7.74
1977-03-22,7.77,7.77,7.77,7.77,0,7.77
1977-03-23,7.78,7.78,7.78,7.78,0,7.78
1977-03-24,7.78,7.78,7.78,7.78,0,7.78
1977-03-25,7.78,7.78,7.78,7.78,0,7.78
1977-03-28,7.8,7.8,7.8,7.8,0,7.8
1977-03-29,7.8,7.8,7.8,7.8,0,7.8
1977-03-30,7.8,7.8,7.8,7.8,0,7.8
1977-03-31,7.79,7.79,7.79,7.79,0,7.79
1977-04-01,7.78,7.78,7.78,7.78,0,7.78
1977-04-04,7.78,7.78,7.78,7.78,0,7.78
1977-04-05,7.78,7.78,7.78,7.78,0,7.78
1977-04-06,7.78,7.78,7.78,7.78,0,7.78
1977-04-07,7.78,7.78,7.78,7.78,0,7.78
1977-04-11,7.76,7.76,7.76,7.76,0,7.76
1977-04-12,7.76,7.76,7.76,7.76,0,7.76
1977-04-13,7.76,7.76,7.76,7.76,0,7.76
1977-04-14,7.63,7.63,7.63,7.63,0,7.63
1977-04-15,7.65,7.65,7.65,7.65,0,7.65
1977-04-18,7.64,7.64,7.64,7.64,0,7.64
1977-04-19,7.67,7.67,7.67,7.67,0,7.67
1977-04-20,7.69,7.69,7.69,7.69,0,7.69
1977-04-21,7.69,7.69,7.69,7.69,0,7.69
1977-04-22,7.73,7.73,7.73,7.73,0,7.73
1977-04-25,7.76,7.76,7.76,7.76,0,7.76
1977-04-26,7.74,7.74,7.74,7.74,0,7.74
1977-04-27,7.75,7.75,7.75,7.75,0,7.75
1977-04-28,7.76,7.76,7.76,7.76,0,7.76
1977-04-29,7.8,7.8,7.8,7.8,0,7.8
1977-05-02,7.8,7.8,7.8,7.8,0,7.8
1977-05-03,7.79,7.79,7.79,7.79,0,7.79
1977-05-04,7.78,7.78,7.78,7.78,0,7.78
1977-05-05,7.8,7.8,7.8,7.8,0,7.8
1977-05-06,7.86,7.86,7.86,7.86,0,7.86
1977-05-09,7.86,7.86,7.86,7.86,0,7.86
1977-05-10,7.86,7.86,7.86,7.86,0,7.86
1977-05-11,7.86,7.86,7.86,7.86,0,7.86
1977-05-12,7.86,7.86,7.86,7.86,0,7.86
1977-05-13,7.8,7.8,7.8,7.8,0,7.8
1977-05-16,7.79,7.79,7.79,7.79,0,7.79
1977-05-17,7.77,7.77,7.77,7.77,0,7.77
1977-05-18,7.77,7.77,7.77,7.77,0,7.77
1977-05-19,7.81,7.81,7.81,7.81,0,7.81
1977-05-20,7.81,7.81,7.81,7.81,0,7.81
1977-05-23,7.8,7.8,7.8,7.8,0,7.8
1977-05-24,7.76,7.76,7.76,7.76,0,7.76
1977-05-25,7.74,7.74,7.74,7.74,0,7.74
1977-05-26,7.76,7.76,7.76,7.76,0,7.76
1977-05-27,7.74,7.74,7.74,7.74,0,7.74
1977-05-31,7.74,7.74,7.74,7.74,0,7.74
1977-06-01,7.75,7.75,7.75,7.75,0,7.75
1977-06-02,7.74,7.74,7.74,7.74,0,7.74
1977-06-03,7.72,7.72,7.72,7.72,0,7.72
1977-06-06,7.72,7.72,7.72,7.72,0,7.72
1977-06-07,7.67,7.67,7.67,7.67,0,7.67
1977-06-08,7.67,7.67,7.67,7.67,0,7.67
1977-06-09,7.67,7.67,7.67,7.67,0,7.67
1977-06-10,7.66,7.66,7.66,7.66,0,7.66
1977-06-13,7.62,7.62,7.62,7.62,0,7.62
1977-06-14,7.59,7.59,7.59,7.59,0,7.59
1977-06-15,7.6,7.6,7.6,7.6,0,7.6
1977-06-16,7.62,7.62,7.62,7.62,0,7.62
1977-06-17,7.62,7.62,7.62,7.62,0,7.62
1977-06-20,7.63,7.63,7.63,7.63,0,7.63
1977-06-21,7.62,7.62,7.62,7.62,0,7.62
1977-06-22,7.61,7.61,7.61,7.61,0,7.61
1977-06-23,7.61,7.61,7.61,7.61,0,7.61
1977-06-24,7.59,7.59,7.59,7.59,0,7.59
1977-06-27,7.58,7.58,7.58,7.58,0,7.58
1977-06-28,7.56,7.56,7.56,7.56,0,7.56
1977-06-29,7.56,7.56,7.56,7.56,0,7.56
1977-06-30,7.58,7.58,7.58,7.58,0,7.58
1977-07-01,7.58,7.58,7.58,7.58,0,7.58
1977-07-05,7.63,7.63,7.63,7.63,0,7.63
1977-07-06,7.63,7.63,7.63,7.63,0,7.63
1977-07-07,7.62,7.62,7.62,7.62,0,7.62
1977-07-08,7.65,7.65,7.65,7.65,0,7.65
1977-07-11,7.65,7.65,7.65,7.65,0,7.65
1977-07-12,7.65,7.65,7.65,7.65,0,7.65
1977-07-13,7.62,7.62,7.62,7.62,0,7.62
1977-07-15,7.64,7.64,7.64,7.64,0,7.64
1977-07-18,7.64,7.64,7.64,7.64,0,7.64
1977-07-19,7.64,7.64,7.64,7.64,0,7.64
1977-07-20,7.64,7.64,7.64,7.64,0,7.64
1977-07-21,7.65,7.65,7.65,7.65,0,7.65
1977-07-22,7.65,7.65,7.65,7.65,0,7.65
1977-07-25,7.64,7.64,7.64,7.64,0,7.64
1977-07-26,7.64,7.64,7.64,7.64,0,7.64
