NAME,fulldate,BHRET3,Obs,rMVOP,rMVMP
SBE INC.,19760108,-77.1,1,42.9174,46.3313
DICKEY-JOHN,19760115,0,2,52.5823,68.357
PATHCOM,19760121,-98.596,3,677.331,613.83
MANUFACTURING DATA,19760211,131.479,4,76.9979,96.247
CRAY RESEARCH,19760317,202.941,5,89.7345,112.848
SHARED MEDICAL SYSTEMS,19760629,147.28,6,225.539,241.045
DOCUMATION,19760708,28.467,7,200.26,198.788
DATA TERMINAL,19760713,567.005,8,90.4415,93.507
AMDAHL,19760812,99.611,9,659.229,656.23
ROLM,19760915,819.298,10,92.3309,92.331
CONTINUOS CURVE LENS,19770201,293.68,11,60.5251,61.2817
TESDATA SYSTEMS,19770427,-40.52,12,60.2353,64.8688
TANDEM COMPUTERS,19771214,753.333,13,159.119,200.629
TELENET,19771221,121.918,14,42.5821,41.9907
GENRAD,19780608,171.01,15,147.321,179.24
PARADYNE CORP,19780711,636.391,16,107.271,143.474
CULLINANE,19780802,324.074,17,117.279,155.394
EVANS & SUTHERLAND,19780907,396.8,18,76.5413,116.725
FLOATING POINT SYSTEM,19780928,41.12,19,221.314,322.75
ROBINSON NUGENT,19781018,77.426,20,83.4131,84.803
SCIENTIFIC TIME SHAR,19781019,-14.67,21,54.3348,51.4751
AVANTEK,19781116,917.544,22,88.0154,86.444
RAMTEK,19781214,52.24,23,55.3259,54.4876
AUTO-TROL TECHNOLOGY,19790124,-25,24,110.564,123.321
VERBATIM,19790215,117.45,25,112.521,120.794
AMER. MGMT. SYSTEMS,19790427,-39.011,26,84.6107,104.588
STRYKER,19790502,162.162,27,96.6362,93.185
TOPAZ,19790614,84.54,28,71.7662,74.757
PRINTRONIX,19790626,41.038,29,127.786,135.773
ANTENNAS FOR COMM.,19790703,15.385,30,33.9197,40.3806
"SANDERS, RC TECH.",19790717,-79.577,31,66.5047,63.734
SPECTRADYNE,19790927,122.606,32,42.9824,43.9592
WESPERCORP,19791003,-23.851,33,46.1548,47.1163
INFORMATICS,19791004,0,34,80.9822,74.504
VALLEN,19791009,14.11,35,62.7842,53.1251
KEVEX,19791016,-12.258,36,92.7351,103.645
HAEMONETICS,19791016,29.13,37,97.629,108.961
TIE / COMMUNICATIONS,19791206,1925,38,50.5564,52.5786
NBI,19791212,277.5,39,147.208,217.132
TRIAD SYSTEMS,19791218,2.9,40,305.78,417.9
BIOCHEM INTERNATIONAL,19791219,100,41,33.9697,31.3566
CADO SYSTEMS,19800311,-25.441,42,161.384,186.04
DIMIS,19800313,-41.667,43,25.1287,23.2673
CORCOM,19800520,101.21,44,58.0921,61.9649
NITRON,19800529,-69.159,45,30.773,30.773
ANDREW,19800619,358.67,46,250.188,246.807
MAGNUSON COMPUTER,19800625,-91.41,47,273.475,321.333
TYLAN,19800709,53.55,48,102.222,109.32
TELLABS,19800715,89.796,49,349.855,424.2
APPLICON,19800722,9.756,50,140.695,195.054
MONOLITHIC MEMORIES,19800806,94.366,51,363.246,458.38
BANCTEC,19800820,-16.364,52,126.013,161.455
